[WARNING] 2026-05-24 08:56:13,521 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:14,531 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:15,544 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:16,556 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:17,556 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:18,573 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:19,585 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:20,592 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:21,600 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:22,609 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:23,618 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:24,627 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:25,638 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:26,648 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:27,649 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:28,660 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:29,675 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:30,681 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:31,696 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:32,703 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:33,714 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:34,723 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:35,732 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:36,734 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:37,740 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:38,754 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:39,767 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:40,782 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:41,788 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:42,796 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:43,808 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:44,817 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:45,826 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:46,826 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:47,837 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:48,847 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:49,861 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:50,873 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:51,886 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:52,896 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:53,908 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:54,921 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:55,933 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:56,948 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:57,960 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:58,968 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:59,981 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:00,993 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:01,994 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:02,997 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:04,004 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:05,016 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:06,023 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:07,038 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:08,051 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:09,056 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:10,069 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:11,081 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:12,088 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:13,099 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:14,109 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:15,119 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:16,133 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:17,146 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:18,149 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:19,160 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:20,162 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:21,171 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:22,181 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:23,196 | Worker unhealthy | name=CameraWorker | reason=failed
